date,deal,amount,open,high,low,close,RD,volume,MA5,MA10,MA20,MA30,SMA5,SMA10,SMA20,SMA30,EMA5,EMA10,EMA20,EMA30,WMA5,WMA10,WMA20,WMA30,next_high,next_low,change_n_pct,signal,high_max,threshold,target,upper_band,middle_band,lower_band
2010-01-04,39511138,2557720928,65.0,65.0,64.0,64.9,0.4,8255,,,,,,,,,,,,,,,,,69.44300000000001,60.357000000000006,-1.0785824345146422,0,64.9,67.49600000000001,0.0,,,
2010-01-05,38394084,2464115096,65.0,65.1,63.9,64.5,-0.4,9205,,,,,,,,,,,,,,,,,69.015,59.98500000000001,-0.7751937984496124,0,64.9,67.08,0.006201550387596988,,,
2010-01-06,52734385,3390698544,64.5,64.9,63.7,64.9,0.4,12597,,,,,,,,,,,,,,,,,69.44300000000001,60.357000000000006,-0.616332819722659,0,64.9,67.49600000000001,0.0,,,
2010-01-07,53294614,3437221996,64.9,65.0,64.2,64.2,-0.7,11195,,,,,,,,,,,,,,,,,68.694,59.706,-0.9345794392523387,0,64.5,66.768,0.004672897196261638,,,
2010-01-08,48047497,3068341466,63.5,64.3,63.5,64.0,-0.2,9804,64.5,,,,64.5,,,,64.5,,,,64.36,,,,68.48,59.52,-1.8750000000000044,0,64.5,66.56,0.0078125,,,
2010-01-11,37446686,2413758179,64.0,64.9,63.5,64.5,0.5,8066,64.42,,,,64.42,,,,64.5,,,,64.36,,,,69.015,59.98500000000001,-2.015503875968988,0,64.5,67.08,0.0,,,
2010-01-12,52444792,3337576396,64.4,64.4,63.3,63.6,-0.9,12865,64.24000000000001,,,,64.24000000000001,,,,64.2,,,,64.08666666666667,,,,68.052,59.148,-0.15723270440251794,0,63.6,66.144,0.0,,,
2010-01-13,49806496,3129817596,63.0,63.1,62.6,62.8,-0.8,10609,63.820000000000014,,,,63.820000000000014,,,,63.733333333333334,,,,63.60666666666667,,,,67.196,58.404,0.15923566878981119,0,63.5,65.312,0.01114649681528667,,,
2010-01-14,39254264,2469193916,63.6,63.6,63.0,63.2,0.4,8755,63.62000000000002,,,,63.62000000000002,,,,63.55555555555556,,,,63.4,,,,67.62400000000001,58.776,-1.1075949367088653,0,63.5,65.72800000000001,0.00474683544303793,,,
2010-01-15,50011109,3155482441,62.9,63.5,62.8,63.5,0.3,11048,63.52000000000002,64.01,,,63.52000000000002,64.01,,,63.53703703703704,64.01,,,63.36,63.70545454545455,,,67.94500000000001,59.055,-0.7874015748031495,0,63.5,66.04,0.0,,,
