date,value,year,period
2010-01-01,129795,2010,M01
2010-02-01,129702,2010,M02
2010-03-01,129865,2010,M03
2010-04-01,130115,2010,M04
2010-05-01,130645,2010,M05
2010-06-01,130501,2010,M06
2010-07-01,130420,2010,M07
2010-08-01,130423,2010,M08
2010-09-01,130340,2010,M09
2010-10-01,130620,2010,M10
2010-11-01,130754,2010,M11
2010-12-01,130836,2010,M12
2011-01-01,130839,2011,M01
2011-02-01,131054,2011,M02
2011-03-01,131278,2011,M03
2011-04-01,131604,2011,M04
2011-05-01,131704,2011,M05
2011-06-01,131936,2011,M06
2011-07-01,131992,2011,M07
2011-08-01,132123,2011,M08
2011-09-01,132346,2011,M09
2011-10-01,132557,2011,M10
2011-11-01,132701,2011,M11
2011-12-01,132902,2011,M12
2012-01-01,133243,2012,M01
2012-02-01,133521,2012,M02
2012-03-01,133745,2012,M03
2012-04-01,133828,2012,M04
2012-05-01,133935,2012,M05
2012-06-01,134008,2012,M06
2012-07-01,134153,2012,M07
2012-08-01,134329,2012,M08
2012-09-01,134512,2012,M09
2012-10-01,134672,2012,M10
2012-11-01,134831,2012,M11
2012-12-01,135074,2012,M12
2013-01-01,135263,2013,M01
2013-02-01,135548,2013,M02
2013-03-01,135690,2013,M03
2013-04-01,135876,2013,M04
2013-05-01,136090,2013,M05
2013-06-01,136269,2013,M06
2013-07-01,136391,2013,M07
2013-08-01,136634,2013,M08
2013-09-01,136819,2013,M09
2013-10-01,137039,2013,M10
2013-11-01,137312,2013,M11
2013-12-01,137367,2013,M12
2014-01-01,137551,2014,M01
2014-02-01,137710,2014,M02
2014-03-01,137987,2014,M03
2014-04-01,138298,2014,M04
2014-05-01,138500,2014,M05
2014-06-01,138833,2014,M06
2014-07-01,139076,2014,M07
2014-08-01,139257,2014,M08
2014-09-01,139564,2014,M09
2014-10-01,139804,2014,M10
2014-11-01,140088,2014,M11
2014-12-01,140366,2014,M12
2015-01-01,140562,2015,M01
2015-02-01,140831,2015,M02
2015-03-01,140925,2015,M03
2015-04-01,141202,2015,M04
2015-05-01,141539,2015,M05
2015-06-01,141695,2015,M06
2015-07-01,141989,2015,M07
2015-08-01,142130,2015,M08
2015-09-01,142265,2015,M09
2015-10-01,142584,2015,M10
2015-11-01,142810,2015,M11
2015-12-01,143083,2015,M12
2016-01-01,143196,2016,M01
2016-02-01,143411,2016,M02
2016-03-01,143666,2016,M03
2016-04-01,143856,2016,M04
2016-05-01,143901,2016,M05
2016-06-01,144152,2016,M06
2016-07-01,144515,2016,M07
2016-08-01,144664,2016,M08
2016-09-01,144961,2016,M09
2016-10-01,145069,2016,M10
2016-11-01,145188,2016,M11
2016-12-01,145410,2016,M12
2017-01-01,145636,2017,M01
2017-02-01,145848,2017,M02
2017-03-01,145976,2017,M03
2017-04-01,146173,2017,M04
2017-05-01,146389,2017,M05
2017-06-01,146588,2017,M06
2017-07-01,146772,2017,M07
2017-08-01,146907,2017,M08
2017-09-01,146999,2017,M09
2017-10-01,147146,2017,M10
2017-11-01,147375,2017,M11
2017-12-01,147521,2017,M12
2018-01-01,147667,2018,M01
2018-02-01,148054,2018,M02
2018-03-01,148280,2018,M03
2018-04-01,148426,2018,M04
2018-05-01,148755,2018,M05
2018-06-01,148968,2018,M06
2018-07-01,149023,2018,M07
2018-08-01,149274,2018,M08
2018-09-01,149361,2018,M09
2018-10-01,149525,2018,M10
2018-11-01,149622,2018,M11
2018-12-01,149804,2018,M12
2019-01-01,150062,2019,M01
2019-02-01,150067,2019,M02
2019-03-01,150294,2019,M03
2019-04-01,150602,2019,M04
2019-05-01,150640,2019,M05
2019-06-01,150844,2019,M06
2019-07-01,150934,2019,M07
2019-08-01,151155,2019,M08
2019-09-01,151358,2019,M09
2019-10-01,151458,2019,M10
2019-11-01,151666,2019,M11
2019-12-01,151792,2019,M12
2020-01-01,152045,2020,M01
2020-02-01,152309,2020,M02
2020-03-01,150898,2020,M03
2020-04-01,130421,2020,M04
2020-05-01,133040,2020,M05
2020-06-01,137655,2020,M06
2020-07-01,139240,2020,M07
2020-08-01,140774,2020,M08
2020-09-01,141820,2020,M09
2020-10-01,142493,2020,M10
2020-11-01,142761,2020,M11
2020-12-01,142518,2020,M12
2021-01-01,142916,2021,M01
