date,value,year,period
2010-01-01,216.687,2010,M01
2010-02-01,216.741,2010,M02
2010-03-01,217.631,2010,M03
2010-04-01,218.009,2010,M04
2010-05-01,218.178,2010,M05
2010-06-01,217.965,2010,M06
2010-07-01,218.011,2010,M07
2010-08-01,218.312,2010,M08
2010-09-01,218.439,2010,M09
2010-10-01,218.711,2010,M10
2010-11-01,218.803,2010,M11
2010-12-01,219.179,2010,M12
2011-01-01,220.223,2011,M01
2011-02-01,221.309,2011,M02
2011-03-01,223.467,2011,M03
2011-04-01,224.906,2011,M04
2011-05-01,225.964,2011,M05
2011-06-01,225.722,2011,M06
2011-07-01,225.922,2011,M07
2011-08-01,226.545,2011,M08
2011-09-01,226.889,2011,M09
2011-10-01,226.421,2011,M10
2011-11-01,226.23,2011,M11
2011-12-01,225.672,2011,M12
2012-01-01,226.665,2012,M01
2012-02-01,227.663,2012,M02
2012-03-01,229.392,2012,M03
2012-04-01,230.085,2012,M04
2012-05-01,229.815,2012,M05
2012-06-01,229.478,2012,M06
2012-07-01,229.104,2012,M07
2012-08-01,230.379,2012,M08
2012-09-01,231.407,2012,M09
2012-10-01,231.317,2012,M10
2012-11-01,230.221,2012,M11
2012-12-01,229.601,2012,M12
2013-01-01,230.28,2013,M01
2013-02-01,232.166,2013,M02
2013-03-01,232.773,2013,M03
2013-04-01,232.531,2013,M04
2013-05-01,232.945,2013,M05
2013-06-01,233.504,2013,M06
2013-07-01,233.596,2013,M07
2013-08-01,233.877,2013,M08
2013-09-01,234.149,2013,M09
2013-10-01,233.546,2013,M10
2013-11-01,233.069,2013,M11
2013-12-01,233.049,2013,M12
2014-01-01,233.916,2014,M01
2014-02-01,234.781,2014,M02
2014-03-01,236.293,2014,M03
2014-04-01,237.072,2014,M04
2014-05-01,237.9,2014,M05
2014-06-01,238.343,2014,M06
2014-07-01,238.25,2014,M07
2014-08-01,237.852,2014,M08
2014-09-01,238.031,2014,M09
2014-10-01,237.433,2014,M10
2014-11-01,236.151,2014,M11
2014-12-01,234.812,2014,M12
2015-01-01,233.707,2015,M01
2015-02-01,234.722,2015,M02
2015-03-01,236.119,2015,M03
2015-04-01,236.599,2015,M04
2015-05-01,237.805,2015,M05
2015-06-01,238.638,2015,M06
2015-07-01,238.654,2015,M07
2015-08-01,238.316,2015,M08
2015-09-01,237.945,2015,M09
2015-10-01,237.838,2015,M10
2015-11-01,237.336,2015,M11
2015-12-01,236.525,2015,M12
2016-01-01,236.916,2016,M01
2016-02-01,237.111,2016,M02
2016-03-01,238.132,2016,M03
2016-04-01,239.261,2016,M04
2016-05-01,240.229,2016,M05
2016-06-01,241.018,2016,M06
2016-07-01,240.628,2016,M07
2016-08-01,240.849,2016,M08
2016-09-01,241.428,2016,M09
2016-10-01,241.729,2016,M10
2016-11-01,241.353,2016,M11
2016-12-01,241.432,2016,M12
2017-01-01,242.839,2017,M01
2017-02-01,243.603,2017,M02
2017-03-01,243.801,2017,M03
2017-04-01,244.524,2017,M04
2017-05-01,244.733,2017,M05
2017-06-01,244.955,2017,M06
2017-07-01,244.786,2017,M07
2017-08-01,245.519,2017,M08
2017-09-01,246.819,2017,M09
2017-10-01,246.663,2017,M10
2017-11-01,246.669,2017,M11
2017-12-01,246.524,2017,M12
2018-01-01,247.867,2018,M01
2018-02-01,248.991,2018,M02
2018-03-01,249.554,2018,M03
2018-04-01,250.546,2018,M04
2018-05-01,251.588,2018,M05
2018-06-01,251.989,2018,M06
2018-07-01,252.006,2018,M07
2018-08-01,252.146,2018,M08
2018-09-01,252.439,2018,M09
2018-10-01,252.885,2018,M10
2018-11-01,252.038,2018,M11
2018-12-01,251.233,2018,M12
2019-01-01,251.712,2019,M01
2019-02-01,252.776,2019,M02
2019-03-01,254.202,2019,M03
2019-04-01,255.548,2019,M04
2019-05-01,256.092,2019,M05
2019-06-01,256.143,2019,M06
2019-07-01,256.571,2019,M07
2019-08-01,256.558,2019,M08
2019-09-01,256.759,2019,M09
2019-10-01,257.346,2019,M10
2019-11-01,257.208,2019,M11
2019-12-01,256.974,2019,M12
2020-01-01,257.971,2020,M01
2020-02-01,258.678,2020,M02
2020-03-01,258.115,2020,M03
2020-04-01,256.389,2020,M04
2020-05-01,256.394,2020,M05
2020-06-01,257.797,2020,M06
2020-07-01,259.101,2020,M07
2020-08-01,259.918,2020,M08
2020-09-01,260.28,2020,M09
2020-10-01,260.388,2020,M10
2020-11-01,260.229,2020,M11
2020-12-01,260.474,2020,M12
2021-01-01,261.582,2021,M01
2021-02-01,263.014,2021,M02
2021-03-01,264.877,2021,M03
2021-04-01,267.054,2021,M04
2021-05-01,269.195,2021,M05
2021-06-01,271.696,2021,M06
2021-07-01,273.003,2021,M07
2021-08-01,273.567,2021,M08
2021-09-01,274.31,2021,M09
2021-10-01,276.589,2021,M10
2021-11-01,277.948,2021,M11
2021-12-01,278.802,2021,M12
2022-01-01,281.148,2022,M01
2022-02-01,283.716,2022,M02
2022-03-01,287.504,2022,M03
2022-04-01,289.109,2022,M04
2022-05-01,292.296,2022,M05
2022-06-01,296.311,2022,M06
2022-07-01,296.276,2022,M07
2022-08-01,296.171,2022,M08
2022-09-01,296.808,2022,M09
2022-10-01,298.012,2022,M10
2022-11-01,297.711,2022,M11
2022-12-01,296.797,2022,M12
2023-01-01,299.17,2023,M01
2023-02-01,300.84,2023,M02
2023-03-01,301.836,2023,M03
2023-04-01,303.363,2023,M04
2023-05-01,304.127,2023,M05
2023-06-01,305.109,2023,M06
2023-07-01,305.691,2023,M07
2023-08-01,307.026,2023,M08
2023-09-01,307.789,2023,M09
2023-10-01,307.671,2023,M10
2023-11-01,307.051,2023,M11
2023-12-01,306.746,2023,M12
2024-01-01,308.417,2024,M01
2024-02-01,310.326,2024,M02
2024-03-01,312.332,2024,M03
2024-04-01,313.548,2024,M04
2024-05-01,314.069,2024,M05
2024-06-01,314.175,2024,M06
2024-07-01,314.54,2024,M07
