date,value,year,period
2010-01-01,120.7,2010,M01
2010-02-01,120.3,2010,M02
2010-03-01,121.2,2010,M03
2010-04-01,122.5,2010,M04
2010-05-01,123.1,2010,M05
2010-06-01,122.2,2010,M06
2010-07-01,122.0,2010,M07
2010-08-01,123.0,2010,M08
2010-09-01,123.7,2010,M09
2010-10-01,124.7,2010,M10
2010-11-01,126.6,2010,M11
2010-12-01,127.5,2010,M12
2011-01-01,129.1,2011,M01
2011-02-01,130.8,2011,M02
2011-03-01,132.7,2011,M03
2011-04-01,133.8,2011,M04
2011-05-01,134.3,2011,M05
2011-06-01,134.5,2011,M06
2011-07-01,134.0,2011,M07
2011-08-01,134.6,2011,M08
2011-09-01,135.3,2011,M09
2011-10-01,132.6,2011,M10
2011-11-01,132.7,2011,M11
2011-12-01,132.1,2011,M12
2012-01-01,132.5,2012,M01
2012-02-01,133.1,2012,M02
2012-03-01,134.1,2012,M03
2012-04-01,134.7,2012,M04
2012-05-01,134.0,2012,M05
2012-06-01,131.7,2012,M06
2012-07-01,132.2,2012,M07
2012-08-01,133.4,2012,M08
2012-09-01,134.5,2012,M09
2012-10-01,134.6,2012,M10
2012-11-01,133.8,2012,M11
2012-12-01,133.6,2012,M12
2013-01-01,134.1,2013,M01
2013-02-01,135.1,2013,M02
2013-03-01,134.4,2013,M03
2013-04-01,133.6,2013,M04
2013-05-01,132.9,2013,M05
2013-06-01,132.8,2013,M06
2013-07-01,132.6,2013,M07
2013-08-01,131.9,2013,M08
2013-09-01,132.4,2013,M09
2013-10-01,131.6,2013,M10
2013-11-01,131.8,2013,M11
2013-12-01,132.3,2013,M12
2014-01-01,132.7,2014,M01
2014-02-01,133.7,2014,M02
2014-03-01,134.9,2014,M03
2014-04-01,133.5,2014,M04
2014-05-01,133.7,2014,M05
2014-06-01,133.0,2014,M06
2014-07-01,133.1,2014,M07
2014-08-01,132.4,2014,M08
2014-09-01,131.9,2014,M09
2014-10-01,130.7,2014,M10
2014-11-01,129.5,2014,M11
2014-12-01,128.3,2014,M12
2015-01-01,126.1,2015,M01
2015-02-01,125.9,2015,M02
2015-03-01,125.9,2015,M03
2015-04-01,125.1,2015,M04
2015-05-01,125.7,2015,M05
2015-06-01,125.3,2015,M06
2015-07-01,124.8,2015,M07
2015-08-01,123.0,2015,M08
2015-09-01,122.3,2015,M09
2015-10-01,122.0,2015,M10
2015-11-01,121.1,2015,M11
2015-12-01,119.8,2015,M12
2016-01-01,118.7,2016,M01
2016-02-01,118.2,2016,M02
2016-03-01,118.1,2016,M03
2016-04-01,118.7,2016,M04
2016-05-01,120.0,2016,M05
2016-06-01,120.9,2016,M06
2016-07-01,121.1,2016,M07
2016-08-01,120.1,2016,M08
2016-09-01,120.5,2016,M09
2016-10-01,120.7,2016,M10
2016-11-01,120.8,2016,M11
2016-12-01,121.3,2016,M12
2017-01-01,121.6,2017,M01
2017-02-01,122.0,2017,M02
2017-03-01,122.1,2017,M03
2017-04-01,122.4,2017,M04
2017-05-01,121.7,2017,M05
2017-06-01,121.6,2017,M06
2017-07-01,122.2,2017,M07
2017-08-01,122.9,2017,M08
2017-09-01,123.9,2017,M09
2017-10-01,124.0,2017,M10
2017-11-01,124.6,2017,M11
2017-12-01,124.7,2017,M12
2018-01-01,125.6,2018,M01
2018-02-01,125.8,2018,M02
2018-03-01,126.3,2018,M03
2018-04-01,126.9,2018,M04
2018-05-01,127.8,2018,M05
2018-06-01,128.0,2018,M06
2018-07-01,127.4,2018,M07
2018-08-01,127.3,2018,M08
2018-09-01,127.3,2018,M09
2018-10-01,127.9,2018,M10
2018-11-01,126.9,2018,M11
2018-12-01,126.1,2018,M12
2019-01-01,125.3,2019,M01
2019-02-01,126.1,2019,M02
2019-03-01,127.0,2019,M03
2019-04-01,127.1,2019,M04
2019-05-01,126.7,2019,M05
2019-06-01,126.0,2019,M06
2019-07-01,126.2,2019,M07
2019-08-01,125.5,2019,M08
2019-09-01,125.1,2019,M09
2019-10-01,125.1,2019,M10
2019-11-01,125.2,2019,M11
2019-12-01,125.0,2019,M12
2020-01-01,125.8,2020,M01
2020-02-01,124.3,2020,M02
2020-03-01,122.5,2020,M03
2020-04-01,118.2,2020,M04
2020-05-01,118.2,2020,M05
2020-06-01,120.3,2020,M06
2020-07-01,121.5,2020,M07
2020-08-01,122.1,2020,M08
2020-09-01,122.8,2020,M09
2020-10-01,123.0,2020,M10
2020-11-01,124.0,2020,M11
2020-12-01,125.5,2020,M12
2021-01-01,128.9,2021,M01
2021-02-01,131.0,2021,M02
2021-03-01,134.3,2021,M03
2021-04-01,135.9,2021,M04
2021-05-01,139.0,2021,M05
2021-06-01,140.6,2021,M06
2021-07-01,142.1,2021,M07
2021-08-01,142.4,2021,M08
2021-09-01,142.8,2021,M09
2021-10-01,145.5,2021,M10
2021-11-01,146.5,2021,M11
2021-12-01,144.2,2021,M12
2022-01-01,148.2,2022,M01
