date,value,year,period
2010-01-01,9.8,2010,M01
2010-02-01,9.8,2010,M02
2010-03-01,9.9,2010,M03
2010-04-01,9.9,2010,M04
2010-05-01,9.6,2010,M05
2010-06-01,9.4,2010,M06
2010-07-01,9.4,2010,M07
2010-08-01,9.5,2010,M08
2010-09-01,9.5,2010,M09
2010-10-01,9.4,2010,M10
2010-11-01,9.8,2010,M11
2010-12-01,9.3,2010,M12
2011-01-01,9.1,2011,M01
2011-02-01,9.0,2011,M02
2011-03-01,9.0,2011,M03
2011-04-01,9.1,2011,M04
2011-05-01,9.0,2011,M05
2011-06-01,9.1,2011,M06
2011-07-01,9.0,2011,M07
2011-08-01,9.0,2011,M08
2011-09-01,9.0,2011,M09
2011-10-01,8.8,2011,M10
2011-11-01,8.6,2011,M11
2011-12-01,8.5,2011,M12
2012-01-01,8.3,2012,M01
2012-02-01,8.3,2012,M02
2012-03-01,8.2,2012,M03
2012-04-01,8.2,2012,M04
2012-05-01,8.2,2012,M05
2012-06-01,8.2,2012,M06
2012-07-01,8.2,2012,M07
2012-08-01,8.1,2012,M08
2012-09-01,7.8,2012,M09
2012-10-01,7.8,2012,M10
2012-11-01,7.7,2012,M11
2012-12-01,7.9,2012,M12
2013-01-01,8.0,2013,M01
2013-02-01,7.7,2013,M02
2013-03-01,7.5,2013,M03
2013-04-01,7.6,2013,M04
2013-05-01,7.5,2013,M05
2013-06-01,7.5,2013,M06
2013-07-01,7.3,2013,M07
2013-08-01,7.2,2013,M08
2013-09-01,7.2,2013,M09
2013-10-01,7.2,2013,M10
2013-11-01,6.9,2013,M11
2013-12-01,6.7,2013,M12
2014-01-01,6.6,2014,M01
2014-02-01,6.7,2014,M02
2014-03-01,6.7,2014,M03
2014-04-01,6.2,2014,M04
2014-05-01,6.3,2014,M05
2014-06-01,6.1,2014,M06
2014-07-01,6.2,2014,M07
2014-08-01,6.1,2014,M08
2014-09-01,5.9,2014,M09
2014-10-01,5.7,2014,M10
2014-11-01,5.8,2014,M11
2014-12-01,5.6,2014,M12
2015-01-01,5.7,2015,M01
2015-02-01,5.5,2015,M02
2015-03-01,5.4,2015,M03
2015-04-01,5.4,2015,M04
2015-05-01,5.6,2015,M05
2015-06-01,5.3,2015,M06
2015-07-01,5.2,2015,M07
2015-08-01,5.1,2015,M08
2015-09-01,5.0,2015,M09
2015-10-01,5.0,2015,M10
2015-11-01,5.1,2015,M11
2015-12-01,5.0,2015,M12
2016-01-01,4.8,2016,M01
2016-02-01,4.9,2016,M02
2016-03-01,5.0,2016,M03
2016-04-01,5.1,2016,M04
2016-05-01,4.8,2016,M05
2016-06-01,4.9,2016,M06
2016-07-01,4.8,2016,M07
2016-08-01,4.9,2016,M08
2016-09-01,5.0,2016,M09
2016-10-01,4.9,2016,M10
2016-11-01,4.7,2016,M11
2016-12-01,4.7,2016,M12
2017-01-01,4.7,2017,M01
2017-02-01,4.6,2017,M02
2017-03-01,4.4,2017,M03
2017-04-01,4.4,2017,M04
2017-05-01,4.4,2017,M05
2017-06-01,4.3,2017,M06
2017-07-01,4.3,2017,M07
2017-08-01,4.4,2017,M08
2017-09-01,4.3,2017,M09
2017-10-01,4.2,2017,M10
2017-11-01,4.2,2017,M11
2017-12-01,4.1,2017,M12
2018-01-01,4.0,2018,M01
2018-02-01,4.1,2018,M02
2018-03-01,4.0,2018,M03
2018-04-01,4.0,2018,M04
2018-05-01,3.8,2018,M05
2018-06-01,4.0,2018,M06
2018-07-01,3.8,2018,M07
2018-08-01,3.8,2018,M08
2018-09-01,3.7,2018,M09
2018-10-01,3.8,2018,M10
2018-11-01,3.8,2018,M11
2018-12-01,3.9,2018,M12
2019-01-01,4.0,2019,M01
2019-02-01,3.8,2019,M02
2019-03-01,3.8,2019,M03
2019-04-01,3.7,2019,M04
2019-05-01,3.6,2019,M05
2019-06-01,3.6,2019,M06
2019-07-01,3.7,2019,M07
2019-08-01,3.6,2019,M08
