date,value,year,period
2010-01-01,124.987,2010,M01
2010-02-01,124.972,2010,M02
2010-03-01,125.442,2010,M03
2010-04-01,125.62,2010,M04
2010-05-01,125.678,2010,M05
2010-06-01,125.521,2010,M06
2010-07-01,125.536,2010,M07
2010-08-01,125.756,2010,M08
2010-09-01,125.83,2010,M09
2010-10-01,125.969,2010,M10
2010-11-01,125.92,2010,M11
2010-12-01,126.143,2010,M12
2011-01-01,126.778,2011,M01
2011-02-01,127.363,2011,M02
2011-03-01,128.585,2011,M03
2011-04-01,129.483,2011,M04
2011-05-01,129.999,2011,M05
2011-06-01,129.846,2011,M06
2011-07-01,129.983,2011,M07
2011-08-01,130.351,2011,M08
2011-09-01,130.635,2011,M09
2011-10-01,130.373,2011,M10
2011-11-01,130.196,2011,M11
2011-12-01,129.844,2011,M12
2012-01-01,130.438,2012,M01
2012-02-01,130.953,2012,M02
2012-03-01,131.905,2012,M03
2012-04-01,132.284,2012,M04
2012-05-01,132.154,2012,M05
2012-06-01,131.956,2012,M06
2012-07-01,131.731,2012,M07
2012-08-01,132.43,2012,M08
2012-09-01,132.988,2012,M09
2012-10-01,132.892,2012,M10
2012-11-01,132.208,2012,M11
2012-12-01,131.77,2012,M12
2013-01-01,132.137,2013,M01
2013-02-01,133.204,2013,M02
2013-03-01,133.558,2013,M03
2013-04-01,133.421,2013,M04
2013-05-01,133.626,2013,M05
2013-06-01,133.9,2013,M06
2013-07-01,133.919,2013,M07
2013-08-01,134.098,2013,M08
2013-09-01,134.255,2013,M09
2013-10-01,133.876,2013,M10
2013-11-01,133.596,2013,M11
2013-12-01,133.509,2013,M12
2014-01-01,134.017,2014,M01
2014-02-01,134.542,2014,M02
2014-03-01,135.375,2014,M03
2014-04-01,135.771,2014,M04
2014-05-01,136.216,2014,M05
2014-06-01,136.433,2014,M06
2014-07-01,136.392,2014,M07
2014-08-01,136.127,2014,M08
2014-09-01,136.211,2014,M09
2014-10-01,135.891,2014,M10
2014-11-01,135.107,2014,M11
2014-12-01,134.207,2014,M12
2015-01-01,133.487,2015,M01
2015-02-01,134.053,2015,M02
2015-03-01,134.969,2015,M03
2015-04-01,135.222,2015,M04
2015-05-01,135.977,2015,M05
2015-06-01,136.391,2015,M06
2015-07-01,136.371,2015,M07
2015-08-01,136.125,2015,M08
2015-09-01,135.837,2015,M09
2015-10-01,135.735,2015,M10
2015-11-01,135.393,2015,M11
2015-12-01,134.788,2015,M12
2016-01-01,134.966,2016,M01
2016-02-01,134.953,2016,M02
2016-03-01,135.655,2016,M03
2016-04-01,136.332,2016,M04
2016-05-01,136.895,2016,M05
2016-06-01,137.329,2016,M06
2016-07-01,137.007,2016,M07
2016-08-01,137.026,2016,M08
2016-09-01,137.328,2016,M09
2016-10-01,137.536,2016,M10
2016-11-01,137.253,2016,M11
2016-12-01,137.221,2016,M12
2017-01-01,138.035,2017,M01
2017-02-01,138.403,2017,M02
2017-03-01,138.461,2017,M03
2017-04-01,138.81,2017,M04
2017-05-01,138.922,2017,M05
2017-06-01,138.989,2017,M06
2017-07-01,138.755,2017,M07
2017-08-01,139.128,2017,M08
2017-09-01,139.878,2017,M09
2017-10-01,139.782,2017,M10
2017-11-01,139.72,2017,M11
2017-12-01,139.546,2017,M12
2018-01-01,140.239,2018,M01
2018-02-01,140.805,2018,M02
2018-03-01,141.142,2018,M03
2018-04-01,141.662,2018,M04
2018-05-01,142.146,2018,M05
2018-06-01,142.349,2018,M06
2018-07-01,142.317,2018,M07
2018-08-01,142.317,2018,M08
2018-09-01,142.489,2018,M09
2018-10-01,142.7,2018,M10
2018-11-01,142.238,2018,M11
2018-12-01,141.699,2018,M12
2019-01-01,142.001,2019,M01
2019-02-01,142.571,2019,M02
2019-03-01,143.297,2019,M03
2019-04-01,143.926,2019,M04
2019-05-01,144.183,2019,M05
2019-06-01,144.243,2019,M06
2019-07-01,144.409,2019,M07
2019-08-01,144.388,2019,M08
2019-09-01,144.428,2019,M09
2019-10-01,144.629,2019,M10
2019-11-01,144.518,2019,M11
2019-12-01,144.251,2019,M12
2020-01-01,144.813,2020,M01
2020-02-01,145.193,2020,M02
2020-03-01,144.913,2020,M03
2020-04-01,144.142,2020,M04
2020-05-01,144.018,2020,M05
2020-06-01,144.847,2020,M06
2020-07-01,145.747,2020,M07
2020-08-01,146.27,2020,M08
2020-09-01,146.417,2020,M09
2020-10-01,146.382,2020,M10
2020-11-01,146.242,2020,M11
2020-12-01,146.408,2020,M12
2021-01-01,147.125,2021,M01
2021-02-01,147.845,2021,M02
2021-03-01,148.746,2021,M03
2021-04-01,149.903,2021,M04
2021-05-01,151.022,2021,M05
2021-06-01,152.295,2021,M06
2021-07-01,153.076,2021,M07
2021-08-01,153.301,2021,M08
2021-09-01,153.734,2021,M09
2021-10-01,154.884,2021,M10
2021-11-01,155.538,2021,M11
2021-12-01,155.926,2021,M12
2022-01-01,157.178,2022,M01
2022-02-01,158.617,2022,M02
2022-03-01,160.835,2022,M03
2022-04-01,161.787,2022,M04
2022-05-01,163.615,2022,M05
2022-06-01,165.553,2022,M06
2022-07-01,165.495,2022,M07
2022-08-01,165.389,2022,M08
2022-09-01,165.845,2022,M09
2022-10-01,166.609,2022,M10
2022-11-01,166.498,2022,M11
2022-12-01,165.974,2022,M12
2023-01-01,167.267,2023,M01
2023-02-01,168.069,2023,M02
2023-03-01,168.501,2023,M03
2023-04-01,169.376,2023,M04
2023-05-01,169.774,2023,M05
2023-06-01,170.303,2023,M06
2023-07-01,170.461,2023,M07
2023-08-01,171.128,2023,M08
2023-09-01,171.49,2023,M09
2023-10-01,171.409,2023,M10
2023-11-01,171.033,2023,M11
2023-12-01,170.829,2023,M12
2024-01-01,171.726,2024,M01
2024-02-01,172.833,2024,M02
2024-03-01,173.976,2024,M03
2024-04-01,174.654,2024,M04
2024-05-01,174.908,2024,M05
2024-06-01,174.913,2024,M06
2024-07-01,175.089,2024,M07
