date,value,year,period
2010-01-01,101.2,2010,M01
2010-02-01,101.0,2010,M02
2010-03-01,101.1,2010,M03
2010-04-01,101.4,2010,M04
2010-05-01,101.6,2010,M05
2010-06-01,101.4,2010,M06
2010-07-01,101.6,2010,M07
2010-08-01,101.8,2010,M08
2010-09-01,102.1,2010,M09
2010-10-01,102.5,2010,M10
2010-11-01,102.8,2010,M11
2010-12-01,103.1,2010,M12
2011-01-01,103.7,2011,M01
2011-02-01,104.3,2011,M02
2011-03-01,105.0,2011,M03
2011-04-01,105.5,2011,M04
2011-05-01,105.8,2011,M05
2011-06-01,105.9,2011,M06
2011-07-01,106.1,2011,M07
2011-08-01,106.3,2011,M08
2011-09-01,106.7,2011,M09
2011-10-01,106.3,2011,M10
2011-11-01,106.6,2011,M11
2011-12-01,106.5,2011,M12
2012-01-01,106.9,2012,M01
2012-02-01,107.2,2012,M02
2012-03-01,107.4,2012,M03
2012-04-01,107.7,2012,M04
2012-05-01,107.6,2012,M05
2012-06-01,107.3,2012,M06
2012-07-01,107.2,2012,M07
2012-08-01,107.5,2012,M08
2012-09-01,108.2,2012,M09
2012-10-01,108.3,2012,M10
2012-11-01,108.4,2012,M11
2012-12-01,108.4,2012,M12
2013-01-01,108.7,2013,M01
2013-02-01,108.9,2013,M02
2013-03-01,108.9,2013,M03
2013-04-01,108.7,2013,M04
2013-05-01,108.6,2013,M05
2013-06-01,109.0,2013,M06
2013-07-01,109.2,2013,M07
2013-08-01,109.3,2013,M08
2013-09-01,109.3,2013,M09
2013-10-01,109.5,2013,M10
2013-11-01,109.7,2013,M11
2013-12-01,109.8,2013,M12
2014-01-01,110.1,2014,M01
2014-02-01,110.3,2014,M02
2014-03-01,110.7,2014,M03
2014-04-01,110.8,2014,M04
2014-05-01,111.0,2014,M05
2014-06-01,110.9,2014,M06
2014-07-01,111.3,2014,M07
2014-08-01,111.3,2014,M08
2014-09-01,111.1,2014,M09
2014-10-01,111.3,2014,M10
2014-11-01,111.1,2014,M11
2014-12-01,110.8,2014,M12
2015-01-01,110.1,2015,M01
2015-02-01,109.6,2015,M02
2015-03-01,109.8,2015,M03
2015-04-01,109.6,2015,M04
2015-05-01,110.0,2015,M05
2015-06-01,110.3,2015,M06
2015-07-01,110.5,2015,M07
2015-08-01,110.3,2015,M08
2015-09-01,109.9,2015,M09
2015-10-01,109.6,2015,M10
2015-11-01,109.7,2015,M11
2015-12-01,109.6,2015,M12
2016-01-01,110.0,2016,M01
2016-02-01,109.7,2016,M02
2016-03-01,109.7,2016,M03
2016-04-01,109.9,2016,M04
2016-05-01,110.1,2016,M05
2016-06-01,110.6,2016,M06
2016-07-01,110.5,2016,M07
2016-08-01,110.3,2016,M08
2016-09-01,110.6,2016,M09
2016-10-01,110.9,2016,M10
2016-11-01,111.1,2016,M11
2016-12-01,111.4,2016,M12
2017-01-01,111.9,2017,M01
2017-02-01,111.9,2017,M02
2017-03-01,112.1,2017,M03
2017-04-01,112.6,2017,M04
2017-05-01,112.5,2017,M05
2017-06-01,112.6,2017,M06
2017-07-01,112.7,2017,M07
2017-08-01,113.1,2017,M08
2017-09-01,113.5,2017,M09
2017-10-01,113.9,2017,M10
2017-11-01,114.3,2017,M11
2017-12-01,114.4,2017,M12
2018-01-01,114.8,2018,M01
2018-02-01,115.1,2018,M02
2018-03-01,115.3,2018,M03
2018-04-01,115.5,2018,M04
2018-05-01,115.9,2018,M05
2018-06-01,116.3,2018,M06
2018-07-01,116.4,2018,M07
2018-08-01,116.5,2018,M08
2018-09-01,116.7,2018,M09
2018-10-01,117.5,2018,M10
2018-11-01,117.4,2018,M11
2018-12-01,117.4,2018,M12
2019-01-01,117.0,2019,M01
2019-02-01,117.2,2019,M02
2019-03-01,117.6,2019,M03
2019-04-01,118.2,2019,M04
2019-05-01,118.3,2019,M05
2019-06-01,118.2,2019,M06
2019-07-01,118.5,2019,M07
2019-08-01,118.6,2019,M08
2019-09-01,118.3,2019,M09
2019-10-01,118.8,2019,M10
2019-11-01,118.6,2019,M11
2019-12-01,119.0,2019,M12
2020-01-01,119.3,2020,M01
2020-02-01,118.6,2020,M02
2020-03-01,118.0,2020,M03
2020-04-01,116.6,2020,M04
2020-05-01,117.2,2020,M05
2020-06-01,117.5,2020,M06
2020-07-01,118.2,2020,M07
2020-08-01,118.4,2020,M08
2020-09-01,118.7,2020,M09
2020-10-01,119.4,2020,M10
2020-11-01,119.5,2020,M11
2020-12-01,120.0,2020,M12
2021-01-01,121.2,2021,M01
2021-02-01,122.0,2021,M02
2021-03-01,122.8,2021,M03
2021-04-01,124.1,2021,M04
2021-05-01,125.3,2021,M05
2021-06-01,126.2,2021,M06
2021-07-01,127.504,2021,M07
2021-08-01,128.574,2021,M08
2021-09-01,129.188,2021,M09
2021-10-01,130.061,2021,M10
2021-11-01,131.455,2021,M11
2021-12-01,132.224,2021,M12
2022-01-01,133.576,2022,M01
2022-02-01,134.821,2022,M02
2022-03-01,137.041,2022,M03
2022-04-01,137.805,2022,M04
2022-05-01,139.026,2022,M05
2022-06-01,140.238,2022,M06
2022-07-01,139.837,2022,M07
2022-08-01,139.721,2022,M08
2022-09-01,140.137,2022,M09
2022-10-01,140.666,2022,M10
2022-11-01,141.18,2022,M11
2022-12-01,140.696,2022,M12
2023-01-01,141.286,2023,M01
2023-02-01,141.237,2023,M02
2023-03-01,140.738,2023,M03
2023-04-01,140.977,2023,M04
2023-05-01,140.664,2023,M05
2023-06-01,140.672,2023,M06
2023-07-01,141.461,2023,M07
2023-08-01,142.353,2023,M08
2023-09-01,142.658,2023,M09
2023-10-01,142.191,2023,M10
2023-11-01,142.267,2023,M11
2023-12-01,142.17,2023,M12
2024-01-01,142.683,2024,M01
2024-02-01,143.509,2024,M02
2024-03-01,143.535,2024,M03
2024-04-01,144.247,2024,M04
2024-05-01,144.266,2024,M05
2024-06-01,144.531,2024,M06
2024-07-01,144.673,2024,M07
