日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/01/04,39489959,21127581248,530.00,540.00,528.00,536.00,6.00,33316
110/01/05,34839391,18761831567,536.00,542.00,535.00,542.00,6.00,28512
110/01/06,55614434,30572783229,555.00,555.00,541.00,549.00,7.00,55462
110/01/07,53392763,30018630685,554.00,570.00,553.00,565.00,16.00,47905
110/01/08,62957148,36339702855,580.00,580.00,571.00,580.00,15.00,56426
110/01/11,52771778,30535694908,577.00,584.00,574.00,584.00,4.00,49539
110/01/12,52605212,30958142918,583.00,597.00,582.00,591.00,7.00,59595
110/01/13,75707681,45419255149,595.00,605.00,593.00,605.00,14.00,59966
110/01/14,90309708,53477747672,587.00,597.00,587.00,592.00,-13.00,111849
110/01/15,100998199,61876473170,621.00,625.00,601.00,601.00,9.00,105961
110/01/18,50388664,30406611574,608.00,608.00,594.00,607.00,6.00,49008
110/01/19,52947466,32934404720,618.00,632.00,613.00,627.00,20.00,55490
110/01/20,95484470,61279319857,633.00,650.00,631.00,647.00,20.00,95577
110/01/21,97590371,64624578866,640.00,679.00,640.00,673.00,26.00,115004
110/01/22,134238314,88023707664,649.00,665.00,649.00,649.00,-24.00,235186
110/01/25,98608285,62583576696,642.00,646.00,626.00,633.00,-16.00,154134
110/01/26,114797609,71638808826,632.00,640.00,610.00,617.00,-16.00,177764
110/01/27,72823691,44931754892,618.00,625.00,611.00,615.00,-2.00,77274
110/01/28,104181514,62647021616,600.00,608.00,598.00,601.00,-14.00,157835
110/01/29,96875889,58399782288,619.00,619.00,591.00,591.00,-10.00,129394
110/02/01,70161939,42004241697,595.00,612.00,587.00,611.00,20.00,81346
110/02/02,80724207,50938461582,629.00,638.00,622.00,632.00,21.00,82687
110/02/03,59763227,37926170035,638.00,642.00,630.00,630.00,-2.00,56515
110/02/04,47547873,29765963971,626.00,632.00,620.00,627.00,-3.00,44668
110/02/05,57350831,36435290641,638.00,641.00,631.00,632.00,5.00,51140
110/02/17,115578402,76728732025,663.00,668.00,660.00,663.00,31.00,91925
110/02/18,54520341,36024245089,664.00,665.00,656.00,660.00,-3.00,49914
110/02/19,51651844,33676514428,656.00,657.00,647.00,652.00,-8.00,63171
110/02/22,39512078,25885948680,660.00,662.00,650.00,650.00,-2.00,47116
110/02/23,52868029,33779796222,641.00,643.00,633.00,641.00,-9.00,73349
110/02/24,80010637,50333904697,627.00,636.00,625.00,625.00,-16.00,138264
110/02/25,45279276,28634410089,636.00,636.00,628.00,635.00,10.00,46506
110/02/26,137933162,84194194399,611.00,618.00,606.00,606.00,-29.00,212428
110/03/02,57792973,35565213485,621.00,622.00,609.00,609.00,3.00,71325
110/03/03,61171387,37550028241,609.00,622.00,601.00,622.00,13.00,57677
110/03/04,75508388,45662897489,609.00,611.00,601.00,601.00,-21.00,143916
110/03/05,85579527,50968119396,588.00,605.00,584.00,601.00, 0.00,127693
110/03/08,47676630,28737004484,608.00,610.00,598.00,598.00,-3.00,84570
110/03/09,74471341,43957092621,585.00,595.00,585.00,595.00,-3.00,119867
110/03/10,41735443,24904320192,601.00,601.00,593.00,597.00,2.00,54196
110/03/11,55462783,33584884382,596.00,612.00,595.00,609.00,12.00,47948
110/03/12,33876990,20780886905,615.00,618.00,609.00,614.00,5.00,36145
110/03/15,29767904,18194081208,614.00,614.00,609.00,611.00,-3.00,26753
110/03/16,37780820,23074187740,610.00,613.00,607.00,613.00,2.00,37573
110/03/17,43942131,26638906800,612.00,612.00,602.00,604.00,0.00,68585
110/03/18,30223846,18286667342,606.00,609.00,602.00,602.00,-2.00,31677
110/03/19,74960854,44407634402,594.00,598.00,591.00,591.00,-11.00,106938
110/03/22,35931375,21250445678,588.00,598.00,586.00,593.00,2.00,55005
110/03/23,31933358,19057386513,597.00,603.00,593.00,594.00,1.00,36423
110/03/24,115318351,66559451738,571.00,582.00,571.00,576.00,-18.00,242138
110/03/25,74225812,42594849855,572.00,581.00,570.00,575.00,-1.00,115951
110/03/26,37937242,22271364837,582.00,592.00,580.00,590.00,15.00,49718
110/03/29,40573913,24302039570,599.00,602.00,596.00,599.00,9.00,44500
110/03/30,34686346,20661203325,600.00,600.00,592.00,597.00,-2.00,46755
110/03/31,44454672,26217366895,596.00,597.00,587.00,587.00,-10.00,70527
110/04/01,45972766,27520742963,598.00,602.00,594.00,602.00,15.00,48170
110/04/06,37664216,23045132094,615.00,616.00,608.00,610.00,8.00,42422
110/04/07,28140964,17175949080,614.00,614.00,608.00,610.00, 0.00,28395
110/04/08,26658283,16217570357,606.00,613.00,603.00,613.00,3.00,32098
110/04/09,31601619,19344167081,618.00,618.00,609.00,610.00,-3.00,28920
